quelle,episode,index_string,index_binar
'0_e300c','kneten frass wasser gruetze dannen kurz frug abendessen demjenigen naehe retten darum dunkelwelt geselle toeten wirtshaus halten versuchen rede ass gefallen betruebt mensch seid einzige seien maedchen hurtigundgeschwind jedesmal gesellen verhaengt boeser krone brief drach geraubt nacheinander ueberzogen uhr fragt finde kind erste witwe fahnen geben bedeuten wirth meermanne geopfert fresse ausgeliefert muessen gleichen herberge gast uebrigen dach frassen muessten antwortete behangen bedingung haeuser toechtern unsres grossmutters jungfrau schoene geb reich damals drache alljaehrlich loos tochter wirt verschlang haeuschen schwarz koenigreichs grade flor naechste erloesen ach sei uebergeben schuster menschen befreien trauer fragte versprochen schwarzem traurig stadt warum reihe','0','0' 
'0_e300e','drach ohnehin getroffen koenne busch hing geriet fuerchterlichen kraft konnte trug abseits thiere schnaubte wohin morgen hoerte unglueck genommen stuerzen toeteten dritten uebte strand fortzugehen stellt sass weinend rissen hauste ungeheuer spie fuerchte kaempfen stieg lamia drachenberg kruege schon zukommen meermann hinzu gesicht beten sobald sank traene fass bruecke herauskam stellte feuer schlug sechs fuehren kuechenjunge wecken wenig hieb schweif angefahren pfeil entgegen weit knie ans sah luft meer feld staeblein wartete teufel bube zweiten kapelle ungetuem los bursch haeupter verschlungen befreite bestie sprang schaden adler wagen kam dukaten lindwurm tot saebel grossem gewartet drachen hoehle schoss koepfe drache','0','0' 
'quelleepisodeindex_stringindex_binar0_e300g','versah zahl zusammen schafen aufdruecken handflaeche zusammenrufen eraber ueberlegen angeboten joerg hause jung wirthshaus ring gelangen schlief jahr danken buendel namen kueche worte retter dannen komme seidenes versprich prinzessinnen erst zuerst fahren schlaf botschaft betruebt darauf traurigen vorhin andenken nieder wandt festbinden kopfe minute kommen drachenkoepfen weiterzuschlafen kampfe strande niedersank flocht wurme mitnehmen halt verkuendete umkehren wickelt daliegenden klaftern gekaempft errettet hingefallen letzte legte tuechlein erloest wickelte eilte khantochter geschuettet heruntergeschoren ohnmachtdann boden tuch kaeme eingesteckt herausgeschnitten zungenspitzen fraeulein taschentuchs erkenne golden schneidet sieben fort muede steckte koepfen setz schnitt heraus tasche kutsche todtmuede ruhte zunge gefaess eilig zungen','0','0' 
'0_e300o','tun lehrt froehlichkeit beweis gerollt werth raethen herumgeschleppt eingefallen bestraft wirklichen laemmerzungen frug kleider wahrheit dachten womit verneigte aufgestellt gethan wahr auseinander lebte hinaufsteigen falschen zar geschaut geschenke kaiser zeigte verdient taschentuch freudig bleibe fischersohn begruesste haetten getreulich hoerte feierten wenigen knechte betrueger moecht erzaehlte koenige getoetet sanae±n nachzusehen haengten zungenbuendel dazwischen linsen drachenhaus fuellte gestohlen weggelegt ueberaus tuecher tapfern festlichkeit tisch nein fuer beweisen drachenkoepfe naegeln gluecklich wurden geworfen laesst zurueck geschorene habensie schenkte solange geheiratet liess dorthin hofmeister sahen wirklicher hans erkannte umarmt gezogen fuenf zaehne soldaten erloeser einzigen unaussprechlicher ausgerufen pomp braeutigam drauf wahrzeichen fuhr koenig','0','0' 
'0_e300_c_anfangssituation_ankunft_und_erkundigung_der_not','kind geselle drach links erste rede demjenigen finde dunkelwelt baeren halten sehn betruebt jedesmal einzige kreuzweg witwe fresse ass hurtigundgeschwind brief uhr verhaengt treffen ausgeliefert nacheinander herberge gesellen krone geraubt wirth boeser geopfert ueberzogen muessen fahnen bedeuten land meermanne antwortete jahr geben strasse frassen gleichen haeuser behangen toechtern dach uebrigen wirds muessten tanne gast seien unsres schoene bedingung gefallen rechts fragt grossmutters loos geb damals drache tochter alljaehrlich heimgekehrt reich klingen blanken verschlang jungfrau komme haeuschen koenigreichs naechste flor schwarz wirt sei erloesen ach niemand uebergeben bekommen schuster menschen befreien fragte stadt trauer schwarzem versprochen traurig grade reihe warum','0','0' 
'0_e300_e_vorfeld_des_kampfes_bis_zum_sieg','besiegen hierher traenen siebenten lanze heftig geriet hing meeresufer schnaubte heimreise feld rachen hauste neun fuerchterlichen ohnehin toeteten weinend entgegen fortzugehen trug bube sass herauskam ungeheuer uebte kaempfen drach dritten sank abseits schweif stellt stieg schon kraft erde stellte staerker lamia rissen drachenberg strand angefahren beten bruecke bursch schlug hinzu zukommen sechs pfeil weit kruege feuer verschlungen traene wenig los befreite meermann kam fuerchte gesicht fass spie wartete sobald wecken luft schaden kuechenjunge sah ungetuem staeblein adler hieb knie bestie wagen dukaten ans meer kapelle zweiten haeupter grossem teufel tot sprang saebel gewartet lindwurm drachen hoehle koepfe schoss drache','0','0' 
'0_e303c','jahre acht bruedern koennen schnallten stech ewig klinge petja gingen scheideweg spaeter nimmt legten schwimmen gruenes aeltere einzeln verrostet kamen aehnlich hund westen osten weiss vierzehn seite dolche todt persoenlichkeit doppelritter zaertlich durchziehen gehen zogen fischersohn wald bekommen monat probeschuss zwillingsbrueder andre dicht hinaus wollten soehne stand einander zieht rot fliesst linde beschlossen pflegevater trennten gegenseitig pferde hirschfaenger beide muetter fischmeister beiden rechts pistole zeichen messer drum versucht sehn geworden herkommt links pferd heimgekehrt weite einschnitt gen aeltern knaben abreisen wurfspeer nahmen baum umherwandern nachsehen rostflecke buechse graete umarmten abschied kinder klingen blanken trennen dienen tanne ritten welt erwachsen','0','0' 
'0_e707_g_abwesenheit_des_koenigs_bis_zur_bestrafung_der_koenigin','dritten befahl weibe tod setzten kaestchen glaube erfolgt menschen falsche all gemahlin oh kleinen nachdem gott muehle hinaus feinde wartete gemalin zorn gibt werfen statt thurm zornes land begraben prinzessin flusse schwamm darum auftrag legten freuten boesen fast rueckkehr kinde verschwand schickten bach abermals solle darin boese bett schoben brachte ziehen freude mehr tag mutter treppe inniger geburt knaben fall mal gute abschied zwei ersten knaebleins hoffnung gerade hunde kindes himmels schachtel sogleich kasten abscheuliche getoedtet eben heimgekehrt schwestern legte juengste warfen inzwischen diesmal maegdlein gebracht missgeburt bekam genas gekommen hund krieg kind sohne meer geboren magd koenig koenigin','0','0' 
'bechstein','aschenbroedel','0','0' 
'bechstein','ein mann und eine frau hatten zwei toechter und war auch noch eine stieftochter da des mannes erstes liebes kind gar fromm und gut aber nicht gern gesehen von ihrer stiefmutter und stiefschwestern deshalb wurde es auch schlecht behandelt es musste in der kueche den ganzen tag ueber wohnen alle kuechenarbeit tun frueh aufstehen kochen waschen und scheuern und nachts musste es in der bodenkammer schlafen da kroch es bisweilen lieber in die asche am kuechenherd und waermte sich und da es davon nicht sauber aussehen konnte so wurde es von der mutter und den schwestern noch obendrein aschenbroedelchen genannt aus spott und bosheit','0','0' 
'bechstein','einst war der vater zur messe gereist und hatte die maedchen gefragt was er ihnen mitbringen solle da hatte die eine schoene kleider die andere perlen und edelgesteine gewuenscht aschenbroedel aber nur ein gruenes haselreis diese wuensche hatte der vater auch erfuellt die schwestern putzten und schmueckten sich aschenbroedel aber pflanzte das reis auf das grab ihrer mutter und begoss es alle tage mit ihren traenen da wuchs das reis sehr schnell und wurde ein schoenes baeumlein und wenn aschenbroedel auf dem grab ihrer mutter weinte so kam allemal ein voeglein geflogen das sah sie mitleidig an','0','0' 
'bechstein','da begab sichs dass der koenig ein fest anstellte und dazu alle jungfrauen des landes einladen liess denn sein sohn sollte sich aus ihnen eine braut waehlen und da schmueckten sich die schwestern ueberaus reizend und aschenbroedel musste ihnen die haare kaemmen und schoene zoepfe flechten und dass sie auch gern zum tanz mitgehen mochte das fiel gar niemand ein als sie endlich es wagte um erlaubnis zu bitten ward sie schrecklich ausgelacht dass sie sich einfallen liesse zum tanz gehen zu wollen da sie doch keine schoenen kleider habe und nicht einmal schuhe die boese stiefmutter nahm geschwind eine schuessel voll linsen warf diese in die asche und sagte so so aschenbroedel mache dir etwas zu tun lies erst die linsen dann sollst du mitgehen musst aber in zwei stunden fertig sein','0','0' 
'bechstein','das arme kind ging in den garten und rief dem voeglein auf ihrem haselnussbaum und auch den taeubchen dass sie lesen sollten die guten ins toepfchen die schlechten ins kroepfchen und bald wimmelte es von tauben und andern voegeln da wahrte es gar nicht lange so war die schuessel voll linsen ganz rein gelesen aber wie das gute maedchen voller freude die linsen brachte aergerte sich die stiefmutter und schuettete jetzt zwei schuesseln voll linsen in die asche und die sollte es nun auch noch in zwei stunden lesen aschenbroedel weinte rief aber die voeglein wieder und bald war auch diese arbeit getan es wurde ihr aber dennoch nicht wort gehalten sondern sie wurde ausgelacht denn sie habe ja keine kleider und keine schuhe und wie sie sei koennte sie sich nimmermehr sehen lassen auch muesse der koenigssohn und jeder andre einen schlechten geschmack haben der mit ihr tanze und da gingen jene stolzen fort und liessen aschenbroedel tief betruebt zurueck die ging zu ihrem baeumchen und weinte bitterlich da kam das voeglein geflogen und rief','0','0' 
'bechstein','mein liebes kind o sage mir','0','0' 
'bechstein','was du wuenschest schenk ich dir','0','0' 
'bechstein','da rief aschenbroedel indem sie das baeumchen anfasste','0','0' 
'bechstein','o liebes baeumchen ruettle dich','0','0' 
'bechstein','o liebes baeumchen schuettle dich','0','0' 
'bechstein','wirf schoene kleider ueber mich','0','0' 
'bechstein','da flog ein schoenes kleid herunter und kostbare struempfe und schuhe das zog aschenbroedel geschwind an und ging auf den ball und das maedchen war so schoen ach so schoen dass es gar niemand kannte auch nicht einmal seine mutter und seine schwestern und der koenigssohn tanzte nur mit ihm und mit keiner andern jungfrau und als es abends nach hause ging wollte er ihm folgen es entwich ihm aber zog geschwind kleid und schuhe aus auf dem grabe unter dem baeumchen und legte sich in seine asche kleider und schuhe verschwanden augenblicklich','0','0' 
'bechstein','so ging es noch zweimal immer kam aschenbroedel unerkannt und in stets schoenern kleidern zum tanze immer tanzte der koenig nur mit ihm und immer folgte dieser und beim dritten mal verlor es von ungefaehr den einen kleinen goldnen schuh der koenigssohn hob ihn auf bewunderte seine zierlichkeit und sprach es laut liess es auch durch die herolde kund tun nur die jungfrau an deren fuss der kleine schuh passe solle seine gemahlin werden und ritt von haus zu haus die probe zu machen','0','0' 
'bechstein','vergebens probierten die beiden schwestern den kleinen schuh es war als ob ihre fuesse ordentlich groesser wuerden da fragte der koenigssohn ob nicht drei toechter da waeren und der mann sagte ja herr prinz noch ein kleines aschenbroedelchen und die mutter setzte gleich hinzu die sich nicht sehen lassen kann der koenigssohn wollte sie aber doch sehen aschenbroedel wusch sich fein und rein und trat ein auch in ihrem aschgrauen kittelchen durch ihre schoenheit die schwestern ueberstrahlend und wie es den goldnen schuh anzog so passte er praechtig wie angegossen und der koenigssohn erkannte sie nun auch gleich wieder und rief das ist meine holde taenzerin meine liebe braut nahm sie fuehrte sie aufs schloss und befahl ein stattliches hochzeitsfest zuzuruesten','0','0' 
'bechstein','beim kirchgang hatte aschenbroedel ein ganz goldenes kleid an und ein goldnes kroenlein auf dem kopf ihre schwestern gingen ihr voll neid zur rechten und zur linken da kam das voeglein vom haselbaeumchen und pickte jeder ins auge dass dies erblindete als nun die braut aus der kirche ging kam wieder das voeglein und pickte wieder jeder das andere auge aus und so waren sie fuer ihren neid und bosheit mit blindheit geschlagen ihr lebelang','0','0' 
'bechstein','aschenpuester mit der wuenschelgerte','0','0' 
'bechstein','es war einmal ein reicher mann der hatte eine einzige schoene tochter welche er ueber alle massen liebte seine frau war gestorben die tochter war ausserordentlich schoen und was sie nur immer wuenschte das gab ihr der vater weil er kein groesseres glueck kannte als sein maegdlein zu erfreuen vielleicht auch weil sie ein wuenschelfraeulein war dem jeder wunsch ausging  schenke mir ein kleid vater das von silber steht ich will dir auch einen kuss dafuer geben sprach eines tages die tochter zum vater und sie empfing bald das kleid und der vater empfing seinen kuss','0','0' 
'bechstein','schenke mir ein kleid lieber vater das vom golde steht sprach die tochter bald darauf und ich will dir zwei kuesse geben','0','0' 
'bechstein','auch diesen angenehmen tauschhandel ging der vater ein','0','0' 
'bechstein','schenke mir ein kleid das von diamanten steht liebster vater und ich will dir drei kuesse geben bat wiederum die tochter und der vater sagte ihr du sollst es haben aber du machst mich arm','0','0' 
